Processing Log
"Record 1 is found. | Villanueva de la Serena, ES: city id = 6356018"
"Record 2 is found. | Tinh Dien Bien, VN: city id = 1905099"
"Record 3 is found. | Vallirana, ES: city id = 3106515"
"Record 4 is found. | Turégano, ES: city id = 6360928"
"Record 5 is found. | Charlemont, US: city id = 4932757"
"Record 6 is found. | Elfers, US: city id = 4154336"
"Record 7 is found. | Rumburk, CZ: city id = 3066578"
"Record 8 is found. | Zimmernsupra, DE: city id = 2804158"
"Record 9 is found. | Pizzo, IT: city id = 6540086"
"Record 10 is found. | Simrishamn, SE: city id = 2679107"
"Record 11 is found. | Vallfogona de Balaguer, ES: city id = 3106528"
"Record 12 is found. | Krasnyy Yar, RU: city id = 1501876"
"Record 13 is found. | Binaced, ES: city id = 6358306"
"Record 14 is found. | Mirecourt, FR: city id = 2993728"
"Record 15 is found. | Acton, US: city id = 4928703"
"Record 16 is found. | Llupia, FR: city id = 2998018"
"Record 17 is found. | Olabe, ES: city id = 3115195"
"Record 18 is found. | Magadino, CH: city id = 2659800"
"Record 19 is found. | Kcynia, PL: city id = 3096385"
"Record 20 is found. | Slivnitsa, BG: city id = 727069"
"Record 21 is found. | East Naples, US: city id = 4154031"
"Record 22 is found. | Jesteburg, DE: city id = 6552638"
"Record 23 is found. | Laverlochère, CA: city id = 6050696"
"Record 24 is found. | Dähre, DE: city id = 6549650"
"Record 25 is found. | Guia, PT: city id = 2267487"
"Record 26 is found. | Pelago, IT: city id = 3171297"
"Record 27 is found. | Lambeth, GB: city id = 6545250"
"Record 28 is found. | Ware, GB: city id = 2634777"
"Record 29 is found. | Split Lake, CA: city id = 6153823"
"Record 30 is found. | Taubenheim, DE: city id = 2823887"
"Record 31 is found. | Borriana, IT: city id = 6539386"
"Record 32 is found. | Visperterminen, CH: city id = 7287488"
"Record 33 is found. | Balakovo, RU: city id = 579492"
"Record 34 is found. | Kürten, DE: city id = 6553077"
"Record 35 is found. | Chiusano d'Asti, IT: city id = 6535506"
"Record 36 is found. | La Paz de Carazo, NI: city id = 3618410"
"Record 37 is found. | Sillerup, DE: city id = 2832071"
"Record 38 is found. | Cognat-Lyonne, FR: city id = 3024435"
"Record 39 is found. | Villa Corona, MX: city id = 3980198"
"Record 40 is found. | Negreşti, RO: city id = 672375"
"Record 41 is found. | Pozo de los Palos, ES: city id = 2512324"
"Record 42 is found. | Zlataritsa, BG: city id = 725295"
"Record 43 is found. | Oberstorcha, AT: city id = 7872303"
"Record 44 is found. | Quebradanegra, CO: city id = 3671161"
"Record 45 is found. | Mbini, GQ: city id = 2308278"
"Record 46 is found. | Ada, US: city id = 5145374"
"Record 47 is found. | Sinor, IN: city id = 1256117"
"Record 48 is found. | Weinan, CN: city id = 1791636"
"Record 49 is found. | Harmstorf, DE: city id = 6552635"
"Record 50 is found. | Grinau, DE: city id = 6551438"
"Record 51 is found. | Koma, RU: city id = 2021879"
"Record 52 is found. | Diessenhofen, CH: city id = 7285651"
"Record 53 is found. | Louriçal, PT: city id = 8012406"
"Record 54 is found. | Rising Sun, US: city id = 4366852"
"Record 55 is found. | Aggugaddah, PH: city id = 1732070"
"Record 56 is found. | Faqqū‘ah, PS: city id = 283971"
"Record 57 is found. | Travesio, IT: city id = 3165290"
